"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"183","-10,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"184","-10,29",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"185","-10,33",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,1,2
"186","-10,34",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1
"187","-10,41",0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1
"188","-10,42",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"189","-10,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"190","-10,66",0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,3,2,0,0,1,2,1,2
"191","-10,69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"192","-10,87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"193","-10,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"194","-11,-112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"195","-11,-12",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"196","-11,-13",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2,0,2,0,1
"197","-11,-14",0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,0,1
"198","-11,-70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"199","-11,-71",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
"200","-11,-72",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1
