;Coordenadas;RECENCIA;FRECUENCIA;MAGNITUD
591;-88,51;0;0;0
592;-88,52;0;0;0
593;-88,53;0;0;0
594;-88,54;0;0;0
595;-88,55;0;0;0
596;-88,56;0;0;0
597;-88,57;0;0;0
598;-88,58;0;0;0
599;-88,59;0;0;0
600;-88,60;0;0;0
601;-88,61;0;0;0
602;-88,62;0;0;0
603;-88,63;0;0;0
604;-88,64;0;0;0
605;-88,65;0;0;0
606;-88,66;0;0;0
607;-88,67;0;0;0
608;-88,68;0;0;0
609;-88,69;0;0;0
610;-88,70;0;0;0
611;-88,71;0;0;0
612;-88,72;0;0;0
613;-88,73;0;0;0
614;-88,74;0;0;0
615;-88,75;0;0;0
616;-88,76;0;0;0
617;-88,77;0;0;0
618;-88,78;0;0;0
619;-88,79;0;0;0
620;-88,80;0;0;0
621;-88,81;0;0;0
622;-88,82;0;0;0
623;-88,83;0;0;0
624;-88,84;0;0;0
625;-88,85;0;0;0
626;-88,86;0;0;0
627;-88,87;0;0;0
628;-88,88;0;0;0
629;-88,89;0;0;0
630;-88,90;0;0;0
631;-88,91;0;0;0
632;-88,92;0;0;0
633;-88,93;0;0;0
634;-88,94;0;0;0
635;-88,95;0;0;0
636;-88,96;0;0;0
637;-88,97;0;0;0
638;-88,98;0;0;0
639;-88,99;0;0;0
640;-88,100;0;0;0
641;-88,101;0;0;0
642;-88,102;0;0;0
643;-88,103;0;0;0
644;-88,104;0;0;0
645;-88,105;0;0;0
646;-88,106;0;0;0
647;-88,107;0;0;0
648;-88,108;0;0;0
649;-88,109;0;0;0
650;-88,110;0;0;0
651;-88,111;0;0;0
652;-88,112;0;0;0
653;-88,113;0;0;0
654;-88,114;0;0;0
655;-88,115;0;0;0
656;-88,116;0;0;0
657;-88,117;0;0;0
658;-88,118;0;0;0
659;-88,119;0;0;0
660;-88,120;0;0;0
661;-88,121;0;0;0
662;-88,122;0;0;0
663;-88,123;0;0;0
664;-88,124;0;0;0
665;-88,125;0;0;0
666;-88,126;0;0;0
667;-88,127;0;0;0
668;-88,128;0;0;0
669;-88,129;0;0;0
670;-88,130;0;0;0
671;-88,131;0;0;0
672;-88,132;0;0;0
673;-88,133;0;0;0
674;-88,134;0;0;0
675;-88,135;0;0;0
676;-88,136;0;0;0
677;-88,137;0;0;0
678;-88,138;0;0;0
679;-88,139;0;0;0
680;-88,140;0;0;0
681;-88,141;0;0;0
682;-88,142;0;0;0
683;-88,143;0;0;0
684;-88,144;0;0;0
685;-88,145;0;0;0
686;-88,146;0;0;0
687;-88,147;0;0;0
688;-88,148;0;0;0
689;-88,149;0;0;0
690;-88,150;0;0;0
691;-88,151;0;0;0
692;-88,152;0;0;0
693;-88,153;0;0;0
694;-88,154;0;0;0
695;-88,155;0;0;0
696;-88,156;0;0;0
697;-88,157;0;0;0
698;-88,158;0;0;0
699;-88,159;0;0;0
700;-88,160;0;0;0
701;-88,161;0;0;0
702;-88,162;0;0;0
703;-88,163;0;0;0
704;-88,164;0;0;0
705;-88,165;0;0;0
706;-88,166;0;0;0
707;-88,167;0;0;0
708;-88,168;0;0;0
709;-88,169;0;0;0
710;-88,170;0;0;0
711;-88,171;0;0;0
712;-88,172;0;0;0
713;-88,173;0;0;0
714;-88,174;0;0;0
715;-88,175;0;0;0
716;-88,176;0;0;0
717;-88,177;0;0;0
718;-88,178;0;0;0
719;-88,179;0;0;0
720;-87,-179;0;0;0
721;-87,-178;0;0;0
722;-87,-177;0;0;0
723;-87,-176;0;0;0
724;-87,-175;0;0;0
725;-87,-174;0;0;0
726;-87,-173;0;0;0
727;-87,-172;0;0;0
728;-87,-171;0;0;0
729;-87,-170;0;0;0
730;-87,-169;0;0;0
731;-87,-168;0;0;0
732;-87,-167;0;0;0
733;-87,-166;0;0;0
734;-87,-165;0;0;0
735;-87,-164;0;0;0
736;-87,-163;0;0;0
737;-87,-162;0;0;0
738;-87,-161;0;0;0
739;-87,-160;0;0;0
740;-87,-159;0;0;0
741;-87,-158;0;0;0
742;-87,-157;0;0;0
743;-87,-156;0;0;0
744;-87,-155;0;0;0
745;-87,-154;0;0;0
746;-87,-153;0;0;0
747;-87,-152;0;0;0
748;-87,-151;0;0;0
749;-87,-150;0;0;0
750;-87,-149;0;0;0
751;-87,-148;0;0;0
752;-87,-147;0;0;0
753;-87,-146;0;0;0
754;-87,-145;0;0;0
755;-87,-144;0;0;0
756;-87,-143;0;0;0
757;-87,-142;0;0;0
758;-87,-141;0;0;0
759;-87,-140;0;0;0
760;-87,-139;0;0;0
761;-87,-138;0;0;0
762;-87,-137;0;0;0
763;-87,-136;0;0;0
764;-87,-135;0;0;0
765;-87,-134;0;0;0
766;-87,-133;0;0;0
767;-87,-132;0;0;0
768;-87,-131;0;0;0
769;-87,-130;0;0;0
770;-87,-129;0;0;0
771;-87,-128;0;0;0
772;-87,-127;0;0;0
773;-87,-126;0;0;0
774;-87,-125;0;0;0
775;-87,-124;0;0;0
776;-87,-123;0;0;0
777;-87,-122;0;0;0
778;-87,-121;0;0;0
779;-87,-120;0;0;0
780;-87,-119;0;0;0
781;-87,-118;0;0;0
782;-87,-117;0;0;0
783;-87,-116;0;0;0
784;-87,-115;0;0;0
785;-87,-114;0;0;0
786;-87,-113;0;0;0
787;-87,-112;0;0;0
788;-87,-111;0;0;0
789;-87,-110;0;0;0
790;-87,-109;0;0;0
791;-87,-108;0;0;0
792;-87,-107;0;0;0
793;-87,-106;0;0;0
794;-87,-105;0;0;0
795;-87,-104;0;0;0
796;-87,-103;0;0;0
797;-87,-102;0;0;0
798;-87,-101;0;0;0
799;-87,-100;0;0;0
800;-87,-99;0;0;0
801;-87,-98;0;0;0
802;-87,-97;0;0;0
803;-87,-96;0;0;0
804;-87,-95;0;0;0
805;-87,-94;0;0;0
806;-87,-93;0;0;0
807;-87,-92;0;0;0
808;-87,-91;0;0;0
809;-87,-90;0;0;0
810;-87,-89;0;0;0
811;-87,-88;0;0;0
812;-87,-87;0;0;0
813;-87,-86;0;0;0
814;-87,-85;0;0;0
815;-87,-84;0;0;0
816;-87,-83;0;0;0
817;-87,-82;0;0;0
818;-87,-81;0;0;0
819;-87,-80;0;0;0
820;-87,-79;0;0;0
821;-87,-78;0;0;0
822;-87,-77;0;0;0
823;-87,-76;0;0;0
824;-87,-75;0;0;0
825;-87,-74;0;0;0
826;-87,-73;0;0;0
827;-87,-72;0;0;0
828;-87,-71;0;0;0
829;-87,-70;0;0;0
830;-87,-69;0;0;0
831;-87,-68;0;0;0
832;-87,-67;0;0;0
833;-87,-66;0;0;0
834;-87,-65;0;0;0
835;-87,-64;0;0;0
836;-87,-63;0;0;0
837;-87,-62;0;0;0
838;-87,-61;0;0;0
839;-87,-60;0;0;0
840;-87,-59;0;0;0
841;-87,-58;0;0;0
842;-87,-57;0;0;0
843;-87,-56;0;0;0
844;-87,-55;0;0;0
845;-87,-54;0;0;0
846;-87,-53;0;0;0
847;-87,-52;0;0;0
848;-87,-51;0;0;0
849;-87,-50;0;0;0
850;-87,-49;0;0;0
851;-87,-48;0;0;0
852;-87,-47;0;0;0
853;-87,-46;0;0;0
854;-87,-45;0;0;0
855;-87,-44;0;0;0
856;-87,-43;0;0;0
857;-87,-42;0;0;0
858;-87,-41;0;0;0
859;-87,-40;0;0;0
860;-87,-39;0;0;0
861;-87,-38;0;0;0
862;-87,-37;0;0;0
863;-87,-36;0;0;0
864;-87,-35;0;0;0
865;-87,-34;0;0;0
866;-87,-33;0;0;0
867;-87,-32;0;0;0
868;-87,-31;0;0;0
869;-87,-30;0;0;0
870;-87,-29;0;0;0
871;-87,-28;0;0;0
872;-87,-27;0;0;0
873;-87,-26;0;0;0
874;-87,-25;0;0;0
875;-87,-24;0;0;0
876;-87,-23;0;0;0
877;-87,-22;0;0;0
878;-87,-21;0;0;0
879;-87,-20;0;0;0
880;-87,-19;0;0;0
881;-87,-18;0;0;0
882;-87,-17;0;0;0
883;-87,-16;0;0;0
884;-87,-15;0;0;0
885;-87,-14;0;0;0
886;-87,-13;0;0;0
887;-87,-12;0;0;0
888;-87,-11;0;0;0
889;-87,-10;0;0;0
890;-87,-9;0;0;0
891;-87,-8;0;0;0
892;-87,-7;0;0;0
893;-87,-6;0;0;0
894;-87,-5;0;0;0
895;-87,-4;0;0;0
896;-87,-3;0;0;0
897;-87,-2;0;0;0
898;-87,-1;0;0;0
899;-87,-0;0;0;0
900;-87,0;0;0;0
901;-87,1;0;0;0
902;-87,2;0;0;0
903;-87,3;0;0;0
904;-87,4;0;0;0
905;-87,5;0;0;0
906;-87,6;0;0;0
907;-87,7;0;0;0
908;-87,8;0;0;0
909;-87,9;0;0;0
910;-87,10;0;0;0
911;-87,11;0;0;0
912;-87,12;0;0;0
913;-87,13;0;0;0
914;-87,14;0;0;0
915;-87,15;0;0;0
916;-87,16;0;0;0
917;-87,17;0;0;0
918;-87,18;0;0;0
919;-87,19;0;0;0
920;-87,20;0;0;0
921;-87,21;0;0;0
922;-87,22;0;0;0
923;-87,23;0;0;0
924;-87,24;0;0;0
925;-87,25;0;0;0
926;-87,26;0;0;0
927;-87,27;0;0;0
928;-87,28;0;0;0
929;-87,29;0;0;0
930;-87,30;0;0;0
931;-87,31;0;0;0
932;-87,32;0;0;0
933;-87,33;0;0;0
934;-87,34;0;0;0
935;-87,35;0;0;0
936;-87,36;0;0;0
