"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"453","-17,-69",2,117,3.84957264957265,4
"454","-17,-70",26,48,3.82083333333333,4
"455","-17,-71",1,21,3.95238095238095,5
"456","-17,-72",48,12,4.325,5
"457","-17,-73",902,3,4.63333333333333,6
"458","-17,-74",1020,1,4.3,6
"459","-17,-79",1817,1,5.2,7
"460","-17,121",452,1,4.5,3
"461","-17,122",629,1,3.2,3
"462","-17,123",169,1,3.5,5
"463","-17,166",0,0,0,8
"464","-17,167",169,56,5,5
"465","-17,168",126,30,4.95333333333333,5
"466","-17,169",0,0,0,8
"467","-17,171",0,0,0,8
"468","-17,172",392,1,4.9,3
"469","-17,174",330,2,5.45,5
"470","-17,175",230,2,5.5,5
"471","-17,176",76,1,4.5,5
"472","-17,178",0,0,0,8
"473","-17,179",22,4,4.7,5
"474","-17,27",444,1,3.1,3
"475","-17,34",0,0,0,8
"476","-17,35",445,1,4.8,3
"477","-17,41",0,0,0,8
"478","-17,42",0,0,0,8
"479","-17,65",554,2,5.35,3
"480","-17,66",623,4,5.55,3
"481","-17,67",531,1,4.6,3
"482","-18,-116",0,0,0,8
"483","-18,-17",629,1,4.8,3
"484","-18,-171",1814,1,5.2,7
"485","-18,-172",158,8,5.075,5
"486","-18,-173",22,12,4.925,5
"487","-18,-174",120,25,5.2,5
"488","-18,-175",37,27,4.97037037037037,5
"489","-18,-176",106,12,4.69166666666667,5
"490","-18,-177",19,56,4.65892857142857,5
"491","-18,-178",92,54,4.70185185185185,5
"492","-18,-179",209,4,4.525,5
"493","-18,-55",0,0,0,8
"494","-18,-62",1174,1,4.4,6
"495","-18,-63",377,7,4.71428571428571,3
"496","-18,-65",1425,1,5,7
"497","-18,-66",944,2,4.45,6
"498","-18,-67",276,5,4.24,5
"499","-18,-68",902,6,4.26666666666667,6
"500","-18,-69",22,231,3.48701298701299,4
"501","-18,-70",48,95,3.25473684210526,4
"502","-18,-71",24,64,3.521875,4
"503","-18,-72",29,2,4,5
"504","-18,114",209,1,3.6,5
"505","-18,119",104,1,3.7,5
"506","-18,123",246,1,3.5,5
"507","-18,125",614,1,3.2,3
"508","-18,13",334,1,4.2,3
"509","-18,15",0,0,0,8
"510","-18,167",122,8,4.9875,5
"511","-18,168",35,26,5.05,5
"512","-18,169",29,33,4.81212121212121,5
"513","-18,170",203,2,4.55,5
"514","-18,172",352,1,4.5,3
"515","-18,175",993,2,5.2,6
"516","-18,176",600,3,5.23333333333333,3
"517","-18,177",0,0,0,8
"518","-18,178",1176,1,5.1,6
"519","-18,23",0,0,0,8
"520","-18,34",43,1,4.6,5
"521","-18,41",0,0,0,8
"522","-18,65",213,5,4.76,5
"523","-19,-11",186,2,5,5
"524","-19,-114",1078,1,4.9,6
"525","-19,-12",886,1,5.3,6
"526","-19,-172",118,10,5.25,5
"527","-19,-173",100,18,5.00555555555556,5
"528","-19,-174",24,11,5.11818181818182,5
"529","-19,-175",35,31,4.98709677419355,5
"530","-19,-176",176,13,4.93846153846154,5
"531","-19,-177",36,61,4.60491803278688,5
"532","-19,-178",47,22,4.79545454545454,5
"533","-19,-179",578,4,5.125,3
"534","-19,-56",422,1,4.1,3
"535","-19,-63",171,5,5.16,5
"536","-19,-64",140,2,4.45,5
"537","-19,-66",5,4,4.5,5
"538","-19,-67",445,9,4.11111111111111,3
"539","-19,-68",113,25,3.668,5
"540","-19,-69",4,599,3.28998330550918,2
"541","-19,-70",45,1153,3.33807458803122,2
"542","-19,-71",68,304,3.48585526315789,4
"543","-19,112",59,3,3.6,5
"544","-19,113",644,1,3.3,3
"545","-19,116",354,1,3.4,3
"546","-19,124",129,1,3.1,5
"547","-19,127",56,1,4.8,5
"548","-19,133",52,6,3.56666666666667,5
"549","-19,134",150,3,2.9,4
"550","-19,14",0,0,0,8
"551","-19,148",8,61,2.8672131147541,4
"552","-19,156",0,0,0,8
"553","-19,166",0,0,0,8
"554","-19,167",229,7,4.85714285714286,5
"555","-19,168",9,14,4.84285714285714,5
"556","-19,169",79,42,4.8547619047619,5
"557","-19,170",1759,1,5,7
"558","-19,171",0,0,0,8
"559","-19,173",781,2,5.25,6
"560","-19,174",591,4,5.15,3
"561","-19,175",0,0,0,8
"562","-19,176",0,0,0,8
"563","-19,177",97,5,4.7,5
"564","-19,179",1194,2,4.5,6
"565","-19,27",0,0,0,8
"566","-19,33",263,2,2.45,4
"567","-19,34",0,0,0,8
"568","-19,40",0,0,0,8
"569","-19,41",1605,1,4.8,7
"570","-19,65",0,0,0,8
"571","-19,66",0,0,0,8
"572","-19,67",0,0,0,8
"573","-2,-102",0,0,0,8
"574","-2,-105",1181,1,4.6,6
"575","-2,-12",1138,3,4.86666666666667,6
"576","-2,-76",760,3,4.9,6
"577","-2,-77",112,6,4.46666666666667,5
"578","-2,-78",222,6,4.78333333333333,5
"579","-2,-79",16,18,4.43888888888889,5
"580","-2,-80",10,7,4.38571428571429,5
"581","-2,-81",0,0,0,8
"582","-2,100",25,31,4.79032258064516,5
"583","-2,101",116,2,4.9,5
"584","-2,102",225,16,4.5125,5
"585","-2,103",1065,2,4.25,6
